MSOA21CD,Medianage
E02002483,40
E02002484,40
E02002485,38
E02002489,39
E02002490,39
E02002491,40
E02002492,42
E02002493,48
E02002494,36
E02006909,50
E02007059,44
E02002496,27
E02002497,33
E02002498,30
E02002499,32
E02002500,36
E02002501,35
E02002502,37
E02002503,34
E02002504,37
E02002505,33
E02002506,36
E02002507,41
E02002508,44
E02002509,41
E02002510,43
E02002512,49
E02002513,40
E02002514,47
E02006811,44
E02002515,44
E02002516,40
E02002517,42
E02002518,47
E02002519,43
E02002520,50
E02002521,53
E02002523,32
E02002524,47
E02002525,49
E02002526,44
E02002527,40
E02002529,47
E02002530,49
E02002532,45
E02002533,48
E02002534,55
E02006812,46
E02006910,40
E02002535,48
E02002536,43
E02002537,37
E02002538,44
E02002539,47
E02002540,51
E02002541,45
E02002542,38
E02002543,35
E02002544,37
E02002545,49
E02002546,37
E02002547,52
E02002549,50
E02002550,44
E02002551,36
E02002552,38
E02002553,40
E02002554,43
E02002555,45
E02002556,45
E02002558,47
E02007060,35
E02007061,31
E02007062,33
E02007063,39
E02002559,45
E02002560,42
E02002561,49
E02002562,41
E02002563,47
E02002564,42
E02002567,35
E02002568,49
E02002569,52
E02002570,41
E02002571,37
E02002572,37
E02002573,46
E02007058,38
E02004290,49
E02004291,41
E02004292,50
E02004293,41
E02004294,51
E02004295,48
E02004296,43
E02004297,46
E02004298,48
E02004299,46
E02004300,44
E02004301,38
E02004302,41
E02004303,45
E02004304,42
E02004305,39
E02004306,49
E02004307,46
E02004308,48
E02004309,44
E02004310,44
E02004311,46
E02004312,50
E02004313,31
E02004314,20
E02004315,31
E02004316,41
E02004317,47
E02004318,44
E02004319,43
E02004320,46
E02004321,43
E02004322,39
E02004323,43
E02004324,44
E02004325,38
E02004326,41
E02004327,46
E02004328,39
E02004329,48
E02004330,49
E02004331,43
E02004332,42
E02004333,50
E02004334,45
E02004335,37
E02004336,48
E02004337,42
E02004338,43
E02004339,48
E02004340,43
E02004341,48
E02004342,35
E02004343,44
E02004344,48
E02004345,51
E02004348,54
E02004349,42
E02004350,46
E02004351,44
E02004352,43
E02004353,49
E02004354,43
E02004355,41
E02007022,52
E02005702,53
E02005703,50
E02005704,53
E02005705,56
E02005706,47
E02005707,55
E02005708,57
E02005709,36
E02005710,43
E02005711,42
E02005712,36
E02005713,50
E02005715,41
E02005717,52
E02005718,54
E02005719,45
E02005720,47
E02005721,48
E02005722,48
E02005723,52
E02005724,51
E02005725,51
E02005726,50
E02005727,53
E02005728,53
E02005729,50
E02005730,52
E02005731,45
E02005733,53
E02005734,48
E02005735,38
E02005736,40
E02005739,48
E02005740,43
E02005741,49
E02007105,47
E02007106,44
E02007107,55
E02001709,44
E02001710,40
E02001711,39
E02001712,40
E02001713,42
E02001714,41
E02001715,37
E02001718,38
E02001719,41
E02001720,22
E02001721,43
E02001722,40
E02001723,35
E02001724,23
E02001725,28
E02001726,37
E02001727,43
E02001728,42
E02001729,27
E02001732,38
E02001734,36
E02001735,37
E02001737,37
E02006893,50
E02007095,34
E02007096,42
E02007097,22
E02007098,37
E02007099,22
E02007100,21
E02007101,29
E02007102,24
E02007103,34
E02007104,34
E02001738,51
E02001739,47
E02001740,45
E02001741,48
E02001742,49
E02001743,43
E02001744,39
E02001745,40
E02001746,44
E02001747,51
E02001748,38
E02001749,46
E02001750,47
E02001751,42
E02001752,39
E02001753,48
E02001754,47
E02001755,41
E02001756,38
E02001757,48
E02001758,43
E02001759,44
E02001760,35
E02001761,45
E02001762,39
E02001763,42
E02001764,41
E02001765,38
E02001766,37
E02001767,43
E02001768,42
E02001769,40
E02001770,46
E02001771,46
E02001772,46
E02001773,53
E02001774,43
E02001775,42
E02001776,39
E02001777,40
E02001778,42
E02001779,42
E02001780,43
E02001781,38
E02001782,40
E02001783,35
E02001784,44
E02001785,49
E02001786,44
E02001787,46
E02001788,44
E02001789,51
E02001790,47
E02001791,49
E02001792,52
E02001793,37
E02001794,40
E02001795,43
E02001796,48
E02001797,47
E02001798,41
E02001799,38
E02001800,45
E02001801,35
E02001802,35
E02001803,32
E02001804,43
E02001805,48
E02001806,40
E02001807,39
E02001808,37
E02001809,47
E02001810,44
E02001811,42
E02001812,50
E02001813,37
E02001814,44
E02001815,49
E02001816,46
E02001817,41
E02001818,39
E02001819,51
E02001820,41
E02001821,48
E02001822,45
E02001823,39
E02001824,45
E02001825,49
E02001826,38
E02001682,44
E02001683,46
E02001684,38
E02001685,39
E02001686,49
E02001688,37
E02001689,35
E02001690,45
E02001691,34
E02001692,36
E02001693,46
E02001694,45
E02001695,48
E02001696,41
E02001697,46
E02001698,53
E02001699,46
E02001700,45
E02001701,49
E02001702,39
E02001703,50
E02001704,45
E02001706,40
E02001707,46
E02006841,31
E02006842,36
E02007094,46
E02002574,43
E02002575,45
E02002576,42
E02002577,38
E02002578,40
E02002579,39
E02002580,35
E02002581,48
E02002582,43
E02002583,37
E02002584,41
E02002585,39
E02002586,38
E02002587,40
E02002588,41
E02002589,50
E02002590,47
E02002591,49
E02002592,48
E02002593,46
E02002594,41
E02002595,35
E02002596,48
E02002597,37
E02002598,37
E02002599,43
E02002600,39
E02002601,44
E02002602,34
E02002603,49
E02002604,47
E02002605,41
E02002606,36
E02002607,38
E02002608,50
E02002609,36
E02002610,46
E02002611,46.5
E02002612,46
E02002613,47
E02002614,53
E02002615,36
E02002616,34
E02002617,30
E02002618,31
E02002619,33
E02002620,34
E02002621,30
E02002622,31
E02002623,34
E02002624,47
E02002625,35
E02002626,41
E02002627,40
E02002628,41
E02002629,36
E02002630,39
E02002631,44
E02002632,50
E02002633,51
E02002634,51
E02002635,50
E02002636,44
E02002637,44
E02002638,44
E02002639,37
E02002640,36
E02002641,41
E02002642,40
E02002643,36
E02002644,43
E02002645,40
E02002646,44
E02002647,39
E02002648,39
E02002649,45
E02002650,49
E02002651,48
E02003811,49
E02003812,47
E02003813,51
E02003814,40
E02003815,40
E02003816,45
E02003817,48
E02003818,52
E02003819,49
E02003820,38
E02003821,49
E02003822,50
E02003823,49
E02003824,43
E02003825,42
E02003826,35
E02003827,36
E02003828,36
E02003829,48
E02003830,36
E02003831,48
E02003832,35
E02003833,41
E02003834,36
E02003835,51
E02003836,50
E02003838,42
E02003839,49
E02003840,53
E02003853,49
E02003854,48
E02003855,53
E02003856,41
E02003857,42
E02003858,48
E02003859,49
E02003860,45
E02003861,44
E02003862,55
E02003863,48
E02003864,51
E02003865,47
E02003866,48
E02003867,44
E02003868,42
E02003869,47
E02003870,40
E02003871,45
E02003872,53
E02003873,39
E02007030,38
E02007031,44
E02003794,47
E02003795,43
E02003796,45
E02003797,43
E02003798,38
E02003799,39
E02003800,49
E02003801,44
E02003802,36
E02003803,28
E02003804,40
E02003805,49
E02003806,41
E02003807,49
E02003808,38
E02003809,50
E02003810,48
E02003841,50
E02003842,54
E02003843,45
E02003844,51
E02003845,33
E02003846,37
E02003847,47
E02003848,40
E02003849,34
E02003850,46
E02003851,47
E02003852,49
E02003874,48
E02003875,54
E02003876,42
E02003877,51
E02003878,48
E02003879,35
E02003880,46
E02003881,41
E02003882,41
E02003883,46
E02003884,49
E02003885,47
E02003886,39
E02003887,40
E02003888,41
E02003889,36
E02003890,39
E02003891,51
E02003965,50
E02003966,53
E02003967,49
E02003968,48
E02003969,40
E02003970,49
E02003971,52
E02003972,45
E02003973,40
E02003974,42.5
E02003975,47
E02003976,53
E02003977,46
E02003978,47
E02003979,52
E02003980,38
E02003981,42
E02003982,44
E02003983,39
E02003984,36.5
E02003985,46
E02003986,45
E02003987,50
E02003988,52
E02003989,47
E02003990,45
E02003991,50
E02003992,40
E02003993,53
E02003994,40
E02003995,39
E02003996,37
E02003997,36
E02003998,39
E02003999,45
E02004000,47
E02004001,47
E02004002,47
E02004003,47
E02004004,39
E02004005,46
E02004006,52.5
E02004007,50
E02004008,52
E02004009,51
E02004010,42
E02004011,49
E02004012,53
E02004013,51
E02004014,52
E02004015,51
E02004016,49
E02004017,45
E02004018,43
E02004019,52
E02004020,48
E02004021,55
E02004022,53
E02004023,52
E02004024,53
E02004025,54
E02004026,46
E02004027,58
E02004028,53
E02005176,41
E02005177,37
E02005178,30
E02005179,40
E02005180,46
E02005181,38
E02005182,37
E02005183,46
E02005184,53
E02005185,35
E02005186,44
E02006881,40
E02005189,41
E02005190,50
E02005191,44
E02005192,42
E02005193,47
E02005194,44
E02005195,45
E02005196,39
E02005197,39
E02005198,40
E02005199,50
E02005200,38
E02005201,43
E02005202,47
E02005203,47
E02005204,43
E02005205,46
E02005206,48
E02005207,54
E02005208,53
E02005209,49
E02005210,56
E02005211,54
E02005212,42
E02005213,42
E02005214,42
E02005215,39
E02005216,39
E02005217,30
E02005218,41
E02005219,43
E02005220,51
E02005221,51
E02005222,54
E02005223,54
E02005224,58
E02005225,47
E02005226,39
E02005228,41
E02005229,39
E02005230,46
E02005231,38
E02005233,37
E02005234,24
E02005235,26
E02005236,44
E02005237,38
E02005238,39
E02005239,22
E02006871,45
E02005240,41
E02005241,45
E02005242,46
E02005245,48
E02005246,39
E02005247,49
E02005248,32
E02005249,33
E02005250,31
E02005251,38
E02005252,36
E02007003,41
E02005253,45
E02005254,40
E02005255,43
E02005256,44
E02005257,41
E02005258,43
E02005259,37
E02005260,46
E02005261,35
E02005262,38
E02005263,30
E02005264,28
E02005265,38
E02005266,31
E02005267,25
E02005268,33
E02005269,29
E02005270,52
E02005271,45
E02005272,42
E02005273,50
E02005274,48
E02005275,46
E02005276,48
E02005277,52
E02005278,45
E02005279,39
E02005280,40
E02005281,39
E02005284,47
E02005285,47
E02005286,45
E02006884,43
E02005287,47
E02005288,50
E02005289,50
E02005290,44
E02005291,44
E02005292,42
E02005293,45
E02005294,39
E02005295,44
E02005296,50
E02005297,51
E02005298,41
E02005299,39
E02005300,45
E02005301,44
E02005302,42
E02005303,39
E02005304,48
E02005305,52
E02005306,52
E02005307,45
E02005308,51
E02005309,45
E02005310,23
E02005311,42
E02005312,45
E02005313,36
E02005314,42
E02005315,52
E02005316,36
E02005317,34
E02005318,48
E02005319,43
E02005320,45
E02005321,49
E02005322,55
E02005323,42
E02005324,47
E02005325,54
E02005326,53
E02005327,50
E02005328,53
E02005329,42
E02005330,52
E02005331,49
E02005332,52
E02000984,46
E02000985,49
E02000986,44
E02000987,44
E02000988,38
E02000989,50
E02000990,42
E02000991,40
E02000992,45
E02000993,32
E02000994,32
E02000995,42
E02000996,35
E02000997,44
E02000998,32
E02000999,33
E02001000,39
E02001001,36
E02001002,40
E02001003,46
E02001004,31
E02001005,31
E02001006,32
E02001007,47
E02001008,30
E02001009,36
E02001010,33
E02001011,45
E02001012,31
E02001013,44
E02001014,41
E02001015,41
E02001016,34
E02001017,41
E02001018,43
E02001019,43
E02001020,51
E02001021,48
E02001022,43
E02001023,43
E02001024,44
E02001025,37
E02001026,33
E02001027,37
E02001028,51
E02001029,35
E02001030,45
E02001031,40
E02001032,41
E02001033,36
E02001034,37
E02001035,47
E02001036,38
E02001037,47
E02001038,40
E02001039,36
E02001040,41
E02001041,38
E02001042,40
E02001043,40
E02001044,30
E02001045,37
E02001046,34
E02001047,37
E02001048,34
E02001049,38
E02001050,33
E02001051,34
E02001052,30
E02001053,32
E02001055,35
E02001056,33
E02001059,32
E02001061,33
E02001062,28
E02001063,23
E02001064,32
E02001065,33
E02001066,24
E02001067,31
